,Transaction_ID,Date,Region,Category,Product,Units_Sold,Unit_Price_NGN,Sales_NGN,Month_Name,Year
0,PM-116835,2023-01-01,North Central,Beverages,Zobo Max 50cl,47,7735.99,363591.53,January,2023
1,PM-102587,2023-01-01,South West,Beverages,Naija Cocoa Mix,44,5577.17,245395.48,January,2023
2,PM-105153,2023-01-01,South East,Beverages,Naija Cocoa Mix,9,8621.51,77593.59,January,2023
3,PM-105293,2023-01-01,North West,Grains & Cereals,Pride Semo,7,9506.98,66548.86,January,2023
4,PM-105450,2023-01-01,South East,Beverages,Naija Cocoa Mix,8,6147.75,49182.0,January,2023
5,PM-106398,2023-01-01,South South,Snacks,Kuli-Kuli Bites,41,232.25,9522.25,January,2023
6,PM-108077,2023-01-01,South West,Home Care,Germ-Kill Liquid,8,1941.51,15532.08,January,2023
7,PM-125600,2023-01-01,North Central,Personal Care,FreshMint Paste,29,4592.48,133181.92,January,2023
8,PM-109263,2023-01-01,South West,Snacks,Kuli-Kuli Bites,14,603.79,8453.06,January,2023
9,PM-109355,2023-01-01,South East,Beverages,Zobo Max 50cl,46,14728.65,677517.9,January,2023
10,PM-125239,2023-01-01,South West,Beverages,Naija Cocoa Mix,18,6992.83,125870.94,January,2023
11,PM-109525,2023-01-01,North Central,Grains & Cereals,Easy-Cook Beans,36,8611.97,310030.92,January,2023
12,PM-123898,2023-01-01,South South,Personal Care,Olu Herb Shampoo,44,821.25,36135.0,January,2023
13,PM-111583,2023-01-01,North East,Snacks,Crunchy Plantain Chips,36,1282.28,46162.08,January,2023
14,PM-100630,2023-01-01,South East,Personal Care,Olu Herb Shampoo,31,2391.95,74150.45,January,2023
15,PM-123116,2023-01-01,South West,Snacks,Chin-Chin Delight,39,1344.74,52444.86,January,2023
16,PM-113422,2023-01-01,North Central,Snacks,Chin-Chin Delight,4,2422.75,9691.0,January,2023
17,PM-122130,2023-01-01,South South,Personal Care,Olu Herb Shampoo,47,6157.94,289423.18,January,2023
18,PM-100822,2023-01-01,South West,Grains & Cereals,Easy-Cook Beans,20,5631.57,112631.4,January,2023
19,PM-114533,2023-01-01,South West,Grains & Cereals,Easy-Cook Beans,30,2106.89,63206.7,January,2023
20,PM-116374,2023-01-01,South West,Personal Care,Shea Glow Soap,8,6054.55,48436.4,January,2023
21,PM-116842,2023-01-01,South South,Grains & Cereals,Golden Harvest Rice,11,2761.49,30376.39,January,2023
22,PM-117147,2023-01-01,South West,Grains & Cereals,Golden Harvest Rice,23,5778.64,132908.72,January,2023
23,PM-117574,2023-01-01,South South,Personal Care,Olu Herb Shampoo,10,5549.99,55499.9,January,2023
24,PM-117682,2023-01-01,South West,Snacks,Chin-Chin Delight,14,297.87,4170.18,January,2023
25,PM-117766,2023-01-01,North Central,Home Care,Sparkle Dish Wash,26,4766.41,123926.66,January,2023
26,PM-128611,2023-01-01,South West,Snacks,Kuli-Kuli Bites,11,2463.5,27098.5,January,2023
27,PM-102743,2023-01-01,South South,Grains & Cereals,Golden Harvest Rice,39,2632.62,102672.18,January,2023
28,PM-124126,2023-01-01,South East,Snacks,Chin-Chin Delight,37,1014.43,37533.91,January,2023
29,PM-102983,2023-01-01,South South,Beverages,Peak-Level Milk,29,12659.82,367134.78,January,2023
30,PM-115772,2023-01-02,North Central,Snacks,Crunchy Plantain Chips,29,1829.48,53054.92,January,2023
31,PM-117060,2023-01-02,South West,Home Care,Germ-Kill Liquid,9,2307.49,20767.41,January,2023
