Transaction_ID,Date,Region,Category,Product,Units_Sold,Unit_Price_NGN,Total_Revenue_NGN
PM-116835,2023-01-01,North Central,Beverages,Zobo Max 50cl,47,7735.99,363591.53
PM-102587,2023-01-01,South West,Beverages,Naija Cocoa Mix,44,5577.17,245395.48
PM-105153,2023-01-01,South East,Beverages,Naija Cocoa Mix,9,8621.51,77593.59
PM-105293,2023-01-01,North West,Grains & Cereals,Pride Semo,7,9506.98,66548.86
PM-105450,2023-01-01,South East,Beverages,Naija Cocoa Mix,8,6147.75,49182.0
PM-106398,2023-01-01,South South,Snacks,Kuli-Kuli Bites,41,232.25,9522.25
PM-108077,2023-01-01,South West,Home Care,Germ-Kill Liquid,8,1941.51,15532.08
PM-125600,2023-01-01,North Central,Personal Care,FreshMint Paste,29,4592.48,133181.92
PM-109263,2023-01-01,South West,Snacks,Kuli-Kuli Bites,14,603.79,8453.06
PM-109355,2023-01-01,South East,Beverages,Zobo Max 50cl,46,14728.65,677517.9
PM-125239,2023-01-01,South West,Beverages,Naija Cocoa Mix,18,6992.83,125870.94
PM-109525,2023-01-01,North Central,Grains & Cereals,Easy-Cook Beans,36,8611.97,310030.92
PM-123898,2023-01-01,South South,Personal Care,Olu Herb Shampoo,44,821.25,36135.0
PM-111583,2023-01-01,North East,Snacks,Crunchy Plantain Chips,36,1282.28,46162.08
PM-100630,2023-01-01,South East,Personal Care,Olu Herb Shampoo,31,2391.95,74150.45
PM-123116,2023-01-01,South West,Snacks,Chin-Chin Delight,39,1344.74,52444.86
PM-113422,2023-01-01,North Central,Snacks,Chin-Chin Delight,4,2422.75,9691.0
PM-122130,2023-01-01,South South,Personal Care,Olu Herb Shampoo,47,6157.94,289423.18
PM-100822,2023-01-01,South West,Grains & Cereals,Easy-Cook Beans,20,5631.57,112631.4
PM-114533,2023-01-01,South West,Grains & Cereals,Easy-Cook Beans,30,2106.89,63206.7
PM-116374,2023-01-01,South West,Personal Care,Shea Glow Soap,8,6054.55,48436.4
PM-116842,2023-01-01,South South,Grains & Cereals,Golden Harvest Rice,11,2761.49,30376.39
PM-117147,2023-01-01,South West,Grains & Cereals,Golden Harvest Rice,23,5778.64,132908.72
PM-117574,2023-01-01,South South,Personal Care,Olu Herb Shampoo,10,5549.99,55499.9
PM-117682,2023-01-01,South West,Snacks,Chin-Chin Delight,14,297.87,4170.18
PM-117766,2023-01-01,North Central,Home Care,Sparkle Dish Wash,26,4766.41,123926.66
PM-128611,2023-01-01,South West,Snacks,Kuli-Kuli Bites,11,2463.5,27098.5
PM-102743,2023-01-01,South South,Grains & Cereals,Golden Harvest Rice,39,2632.62,102672.18
PM-124126,2023-01-01,South East,Snacks,Chin-Chin Delight,37,1014.43,37533.91
PM-102983,2023-01-01,South South,Beverages,Peak-Level Milk,29,12659.82,367134.78
PM-115772,2023-01-02,North Central,Snacks,Crunchy Plantain Chips,29,1829.48,53054.92
PM-117060,2023-01-02,South West,Home Care,Germ-Kill Liquid,9,2307.49,20767.41
PM-121458,2023-01-02,South West,Personal Care,Shea Glow Soap,38,1212.79,46086.02
PM-100208,2023-01-02,South West,Grains & Cereals,Easy-Cook Beans,10,6158.82,61588.2
PM-112092,2023-01-02,South West,Grains & Cereals,Golden Harvest Rice,1,2392.71,2392.71
PM-124953,2023-01-02,South East,Home Care,Germ-Kill Liquid,39,7934.9,309461.1
PM-101808,2023-01-02,South West,Beverages,Peak-Level Milk,14,8069.97,112979.58
PM-111282,2023-01-02,South West,Personal Care,FreshMint Paste,2,3345.39,6690.78
PM-125461,2023-01-02,South South,Grains & Cereals,Easy-Cook Beans,23,10582.42,243395.66
PM-120931,2023-01-02,South East,Personal Care,FreshMint Paste,22,1226.3,26978.6
PM-101516,2023-01-02,North East,Snacks,Crunchy Plantain Chips,30,555.38,16661.4
PM-100161,2023-01-02,North Central,Beverages,Peak-Level Milk,1,8710.56,8710.56
PM-120335,2023-01-02,South South,Beverages,Peak-Level Milk,1,8973.8,8973.8
PM-101619,2023-01-02,South West,Personal Care,Shea Glow Soap,21,6170.84,129587.64
PM-105654,2023-01-02,North Central,Beverages,Peak-Level Milk,9,8846.11,79614.99
PM-111468,2023-01-03,South South,Personal Care,FreshMint Paste,47,3998.07,187909.29
PM-103253,2023-01-03,South West,Beverages,Peak-Level Milk,7,11778.01,82446.07
PM-129329,2023-01-03,North West,Snacks,Crunchy Plantain Chips,46,1215.26,55901.96
PM-110870,2023-01-03,South South,Home Care,Germ-Kill Liquid,42,6089.99,255779.58
PM-103893,2023-01-03,South East,Personal Care,FreshMint Paste,49,2771.0,135779.0
PM-110504,2023-01-03,South West,Home Care,Bright-White Detergent,5,2901.07,14505.35
